0.25, 0, 100,
0.25, 10, 90,
0.25, 20, 80,
0.25, 30, 70,
0.25, 40, 60,
0.25, 50, 50,
0.25, 60, 40,
0.25, 70, 30,
0.25, 80, 20,
0.25, 90, 10,
0.25, 100, 0,

0.25, 0, 200,
0.25, 20, 180,
0.25, 40, 160,
0.25, 60, 140,
0.25, 80, 120,
0.25, 100, 100,
0.25, 120, 80,
0.25, 140, 60,
0.25, 160, 40,
0.25, 180, 20,
0.25, 200, 0,

0.25, 0, 300,
0.25, 30, 270,
0.25, 60, 240,
0.25, 90, 210,
0.25, 120, 180,
0.25, 150, 150,
0.25, 180, 120,
0.25, 210, 90,
0.25, 240, 60,
0.25, 270, 30,
0.25, 300, 0,

0.25, 0, 400,
0.25, 40, 360,
0.25, 80, 320,
0.25, 120, 280,
0.25, 160, 240,
0.25, 200, 200,
0.25, 240, 160,
0.25, 280, 120,
0.25, 320, 80,
0.25, 360, 40,
0.25, 400, 0,

0.25, 0, 500,
0.25, 50, 450,
0.25, 100, 400,
0.25, 150, 350,
0.25, 200, 300,
0.25, 250, 250,
0.25, 300, 200,
0.25, 350, 150,
0.25, 400, 100,
0.25, 450, 50,
0.25, 500, 0
